"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.192	-15.86914063	14.6484375	-135.4980469	-3.112792969	-0.1831054688	-1.098632813	0	330.2819824	0.2777099609	0.01525878906	1.177978516
0.194	-15.86914063	11.59667969	-140.3808594	-1.647949219	-0.1831054688	-1.098632813	0	330.2819824	0.244140625	-0.01525878906	1.303100586
0.196	-19.53125	5.493164063	-133.0566406	-1.098632813	-0.1831054688	-1.46484375	0	330.2819824	0.1922607422	-0.02136230469	1.235961914
0.198	-26.85546875	9.155273438	-124.5117188	-1.281738281	-0.1831054688	-1.831054688	0	330.2819824	0.1434326172	-0.1312255859	1.080322266
0.2	-34.1796875	15.86914063	-117.1875	-2.563476563	-0.1831054688	-2.014160156	0	330.2819824	0.1831054688	-0.2105712891	0.9613037109
0.202	-39.0625	18.31054688	-106.2011719	-4.028320313	-0.1831054688	-1.831054688	0	330.2819824	0.3265380859	-0.2044677734	0.8697509766
0.204	-39.0625	10.98632813	-96.43554688	-5.310058594	-0.1831054688	-0.9155273438	0	330.2819824	0.4852294922	-0.03051757813	0.8880615234
0.206	-31.73828125	9.155273438	-96.43554688	-6.225585938	-0.1831054688	0.5493164063	0	330.2819824	0.5950927734	0.1342773438	0.9429931641
0.208	-25.63476563	17.08984375	-96.43554688	-6.408691406	-0.1831054688	2.197265625	0	330.2819824	0.537109375	0.1220703125	0.9216308594
0.21	-17.08984375	21.97265625	-101.3183594	-5.310058594	-0.3662109375	3.479003906	0	330.2819824	0.3356933594	0.03662109375	0.87890625
0.212	-4.8828125	26.85546875	-112.3046875	-4.211425781	-0.3662109375	4.577636719	0	330.2819824	0.1373291016	-0.003051757813	0.9399414063
0.214	6.103515625	32.34863281	-120.8496094	-2.9296875	-0.3662109375	4.943847656	0	330.2819824	0.03356933594	-0.1403808594	0.9735107422
0.216	9.765625	21.97265625	-122.0703125	-2.197265625	-0.1831054688	4.760742188	0	330.2819824	0.09155273438	-0.1281738281	1.010131836
0.218	-1.220703125	0.6103515625	-118.4082031	-2.014160156	-0.1831054688	3.479003906	0	330.2819824	0.2410888672	0.1098632813	1.077270508
0.22	-20.75195313	-10.37597656	-106.2011719	-3.112792969	-0.1831054688	1.281738281	0	330.2819824	0.3295898438	0.2197265625	1.065063477
0.222	-37.84179688	-7.32421875	-89.11132813	-4.577636719	0	-0.732421875	0	330.2819824	0.3662109375	0.1068115234	0.9643554688
0.224	-46.38671875	-3.051757813	-76.90429688	-4.943847656	-0.1831054688	-2.197265625	0	330.2819824	0.3997802734	-0.01831054688	0.7720947266
0.226	-45.16601563	0	-78.125	-4.760742188	-0.1831054688	-2.9296875	0	330.2819824	0.4058837891	-0.06103515625	0.5615234375
0.228	-45.16601563	-3.662109375	-91.55273438	-3.845214844	-0.1831054688	-3.662109375	0	330.2819824	0.3814697266	0.03356933594	0.5493164063
0.23	-40.28320313	-1.220703125	-112.3046875	-3.295898438	-0.3662109375	-3.845214844	0	330.2819824	0.3173828125	0.1403808594	0.8453369141
0.232	-31.73828125	12.20703125	-124.5117188	-3.845214844	-0.1831054688	-2.9296875	0	330.2819824	0.2624511719	0.0244140625	1.208496094
0.234	-21.97265625	21.36230469	-133.0566406	-3.662109375	-0.1831054688	-2.014160156	0	330.2819824	0.2349853516	-0.03662109375	1.412963867
0.236	-15.86914063	20.14160156	-133.0566406	-3.662109375	-0.1831054688	-0.732421875	0	330.2819824	0.2319335938	0.04577636719	1.327514648
0.238	-17.08984375	28.07617188	-126.953125	-4.211425781	-0.1831054688	-0.1831054688	0	330.2819824	0.1800537109	-0.006103515625	1.089477539
0.24	-19.53125	40.89355469	-117.1875	-4.943847656	-0.1831054688	-0.1831054688	0	330.2819824	0.1708984375	-0.2075195313	0.9246826172
0.242	-25.63476563	45.16601563	-104.9804688	-5.493164063	-0.1831054688	-0.5493164063	0	330.2819824	0.2075195313	-0.2990722656	0.8697509766
0.244	-31.73828125	32.34863281	-96.43554688	-6.042480469	-0.1831054688	-0.1831054688	0	330.2819824	0.3356933594	-0.1739501953	0.8850097656
0.246	-25.63476563	14.6484375	-97.65625	-5.310058594	-0.1831054688	1.281738281	0	330.2819824	0.4699707031	0.05493164063	0.9460449219
