"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.272,-219.7265625,241.0888672,725.0976563,-88.43994141,-81.84814453,2.014160156,-4.669189453,132.3413086,0.4455566406,0.048828125,1.043701172
0.274,-208.7402344,239.8681641,727.5390625,-90.27099609,-82.39746094,0,-4.547119141,132.2753906,0.1342773438,0.04272460938,1.214599609
0.276,-200.1953125,242.9199219,725.0976563,-90.27099609,-82.76367188,-3.479003906,-4.577636719,132.2644043,-0.2807617188,-0.05187988281,1.232910156
0.278,-190.4296875,236.8164063,715.3320313,-88.80615234,-83.12988281,-6.042480469,-4.577636719,132.2753906,-0.4852294922,0.02136230469,1.089477539
0.28,-180.6640625,233.1542969,705.5664063,-87.52441406,-83.49609375,-7.690429688,-4.577636719,132.2753906,-0.4272460938,0.1495361328,1.049804688
0.282,-173.3398438,234.9853516,701.9042969,-87.890625,-83.31298828,-8.422851563,-4.577636719,132.2644043,-0.3082275391,0.2075195313,1.248168945
0.284,-173.3398438,246.5820313,699.4628906,-88.80615234,-83.31298828,-8.605957031,-4.577636719,132.2644043,-0.3021240234,0.1068115234,1.449584961
0.286,-175.78125,256.3476563,700.6835938,-88.62304688,-82.94677734,-8.239746094,-4.577636719,132.3193359,-0.3875732422,-0.05187988281,1.406860352
0.288,-180.6640625,256.9580078,706.7871094,-87.890625,-82.39746094,-7.141113281,-4.577636719,132.3742676,-0.3845214844,-0.08239746094,1.132202148
0.29,-191.6503906,252.0751953,712.890625,-86.42578125,-82.03125,-5.310058594,-4.577636719,132.4401855,-0.2258300781,-0.06713867188,0.8514404297
0.292,-205.078125,245.9716797,718.9941406,-86.24267578,-81.29882813,-2.197265625,-4.577636719,132.5061035,0.02746582031,-0.006103515625,0.8026123047
0.294,-216.0644531,247.8027344,722.65625,-86.42578125,-80.56640625,0,-4.577636719,132.5390625,0.2349853516,-0.04272460938,0.87890625
0.296,-229.4921875,250.8544922,723.8769531,-85.69335938,-79.83398438,1.098632813,-4.577636719,132.5280762,0.2716064453,-0.06408691406,0.8666992188
0.298,-236.8164063,253.90625,718.9941406,-84.41162109,-79.1015625,2.014160156,-4.577636719,132.5390625,0.2746582031,-0.05493164063,0.7263183594
0.3,-245.3613281,260.6201172,715.3320313,-83.49609375,-78.73535156,2.014160156,-4.577636719,132.5280762,0.3448486328,-0.06713867188,0.6591796875
